"","Admit","Gender","Dept"
"1","Admitted","Male","A"
"1.1","Admitted","Male","A"
"1.2","Admitted","Male","A"
"1.3","Admitted","Male","A"
"1.4","Admitted","Male","A"
"1.5","Admitted","Male","A"
"1.6","Admitted","Male","A"
"1.7","Admitted","Male","A"
"1.8","Admitted","Male","A"
"1.9","Admitted","Male","A"
"1.10","Admitted","Male","A"
"1.11","Admitted","Male","A"
"1.12","Admitted","Male","A"
"1.13","Admitted","Male","A"
"1.14","Admitted","Male","A"
"1.15","Admitted","Male","A"
"1.16","Admitted","Male","A"
"1.17","Admitted","Male","A"
"1.18","Admitted","Male","A"
"1.19","Admitted","Male","A"
"1.20","Admitted","Male","A"
"1.21","Admitted","Male","A"
"1.22","Admitted","Male","A"
"1.23","Admitted","Male","A"
"1.24","Admitted","Male","A"
"1.25","Admitted","Male","A"
"1.26","Admitted","Male","A"
"1.27","Admitted","Male","A"
"1.28","Admitted","Male","A"
"1.29","Admitted","Male","A"
"1.30","Admitted","Male","A"
"1.31","Admitted","Male","A"
"1.32","Admitted","Male","A"
"1.33","Admitted","Male","A"
"1.34","Admitted","Male","A"
"1.35","Admitted","Male","A"
"1.36","Admitted","Male","A"
"1.37","Admitted","Male","A"
"1.38","Admitted","Male","A"
"1.39","Admitted","Male","A"
"1.40","Admitted","Male","A"
"1.41","Admitted","Male","A"
"1.42","Admitted","Male","A"
"1.43","Admitted","Male","A"
"1.44","Admitted","Male","A"
"1.45","Admitted","Male","A"
"1.46","Admitted","Male","A"
"1.47","Admitted","Male","A"
"1.48","Admitted","Male","A"
"1.49","Admitted","Male","A"
"1.50","Admitted","Male","A"
"1.51","Admitted","Male","A"
"1.52","Admitted","Male","A"
"1.53","Admitted","Male","A"
"1.54","Admitted","Male","A"
"1.55","Admitted","Male","A"
"1.56","Admitted","Male","A"
"1.57","Admitted","Male","A"
"1.58","Admitted","Male","A"
"1.59","Admitted","Male","A"
"1.60","Admitted","Male","A"
"1.61","Admitted","Male","A"
"1.62","Admitted","Male","A"
"1.63","Admitted","Male","A"
"1.64","Admitted","Male","A"
"1.65","Admitted","Male","A"
"1.66","Admitted","Male","A"
"1.67","Admitted","Male","A"
"1.68","Admitted","Male","A"
"1.69","Admitted","Male","A"
"1.70","Admitted","Male","A"
"1.71","Admitted","Male","A"
"1.72","Admitted","Male","A"
"1.73","Admitted","Male","A"
"1.74","Admitted","Male","A"
"1.75","Admitted","Male","A"
"1.76","Admitted","Male","A"
"1.77","Admitted","Male","A"
"1.78","Admitted","Male","A"
"1.79","Admitted","Male","A"
"1.80","Admitted","Male","A"
"1.81","Admitted","Male","A"
"1.82","Admitted","Male","A"
"1.83","Admitted","Male","A"
"1.84","Admitted","Male","A"
"1.85","Admitted","Male","A"
"1.86","Admitted","Male","A"
"1.87","Admitted","Male","A"
"1.88","Admitted","Male","A"
