"","outcome","player","year"
"1","Hit","Derek Jeter","1995"
"1.1","Hit","Derek Jeter","1995"
"1.2","Hit","Derek Jeter","1995"
"1.3","Hit","Derek Jeter","1995"
"1.4","Hit","Derek Jeter","1995"
"1.5","Hit","Derek Jeter","1995"
"1.6","Hit","Derek Jeter","1995"
"1.7","Hit","Derek Jeter","1995"
"1.8","Hit","Derek Jeter","1995"
"1.9","Hit","Derek Jeter","1995"
"1.10","Hit","Derek Jeter","1995"
"1.11","Hit","Derek Jeter","1995"
"2","Hit","Derek Jeter","1996"
"2.1","Hit","Derek Jeter","1996"
"2.2","Hit","Derek Jeter","1996"
"2.3","Hit","Derek Jeter","1996"
"2.4","Hit","Derek Jeter","1996"
"2.5","Hit","Derek Jeter","1996"
"2.6","Hit","Derek Jeter","1996"
"2.7","Hit","Derek Jeter","1996"
"2.8","Hit","Derek Jeter","1996"
"2.9","Hit","Derek Jeter","1996"
"2.10","Hit","Derek Jeter","1996"
"2.11","Hit","Derek Jeter","1996"
"2.12","Hit","Derek Jeter","1996"
"2.13","Hit","Derek Jeter","1996"
"2.14","Hit","Derek Jeter","1996"
"2.15","Hit","Derek Jeter","1996"
"2.16","Hit","Derek Jeter","1996"
"2.17","Hit","Derek Jeter","1996"
"2.18","Hit","Derek Jeter","1996"
"2.19","Hit","Derek Jeter","1996"
"2.20","Hit","Derek Jeter","1996"
"2.21","Hit","Derek Jeter","1996"
"2.22","Hit","Derek Jeter","1996"
"2.23","Hit","Derek Jeter","1996"
"2.24","Hit","Derek Jeter","1996"
"2.25","Hit","Derek Jeter","1996"
"2.26","Hit","Derek Jeter","1996"
"2.27","Hit","Derek Jeter","1996"
"2.28","Hit","Derek Jeter","1996"
"2.29","Hit","Derek Jeter","1996"
"2.30","Hit","Derek Jeter","1996"
"2.31","Hit","Derek Jeter","1996"
"2.32","Hit","Derek Jeter","1996"
"2.33","Hit","Derek Jeter","1996"
"2.34","Hit","Derek Jeter","1996"
"2.35","Hit","Derek Jeter","1996"
"2.36","Hit","Derek Jeter","1996"
"2.37","Hit","Derek Jeter","1996"
"2.38","Hit","Derek Jeter","1996"
"2.39","Hit","Derek Jeter","1996"
"2.40","Hit","Derek Jeter","1996"
"2.41","Hit","Derek Jeter","1996"
"2.42","Hit","Derek Jeter","1996"
"2.43","Hit","Derek Jeter","1996"
"2.44","Hit","Derek Jeter","1996"
"2.45","Hit","Derek Jeter","1996"
"2.46","Hit","Derek Jeter","1996"
"2.47","Hit","Derek Jeter","1996"
"2.48","Hit","Derek Jeter","1996"
"2.49","Hit","Derek Jeter","1996"
"2.50","Hit","Derek Jeter","1996"
"2.51","Hit","Derek Jeter","1996"
"2.52","Hit","Derek Jeter","1996"
"2.53","Hit","Derek Jeter","1996"
"2.54","Hit","Derek Jeter","1996"
"2.55","Hit","Derek Jeter","1996"
"2.56","Hit","Derek Jeter","1996"
"2.57","Hit","Derek Jeter","1996"
"2.58","Hit","Derek Jeter","1996"
"2.59","Hit","Derek Jeter","1996"
"2.60","Hit","Derek Jeter","1996"
"2.61","Hit","Derek Jeter","1996"
"2.62","Hit","Derek Jeter","1996"
"2.63","Hit","Derek Jeter","1996"
"2.64","Hit","Derek Jeter","1996"
"2.65","Hit","Derek Jeter","1996"
"2.66","Hit","Derek Jeter","1996"
"2.67","Hit","Derek Jeter","1996"
"2.68","Hit","Derek Jeter","1996"
"2.69","Hit","Derek Jeter","1996"
"2.70","Hit","Derek Jeter","1996"
"2.71","Hit","Derek Jeter","1996"
"2.72","Hit","Derek Jeter","1996"
"2.73","Hit","Derek Jeter","1996"
"2.74","Hit","Derek Jeter","1996"
"2.75","Hit","Derek Jeter","1996"
"2.76","Hit","Derek Jeter","1996"
"2.77","Hit","Derek Jeter","1996"
"2.78","Hit","Derek Jeter","1996"
"2.79","Hit","Derek Jeter","1996"
"2.80","Hit","Derek Jeter","1996"
"2.81","Hit","Derek Jeter","1996"
"2.82","Hit","Derek Jeter","1996"
"2.83","Hit","Derek Jeter","1996"
"2.84","Hit","Derek Jeter","1996"
"2.85","Hit","Derek Jeter","1996"
"2.86","Hit","Derek Jeter","1996"
"2.87","Hit","Derek Jeter","1996"
"2.88","Hit","Derek Jeter","1996"
"2.89","Hit","Derek Jeter","1996"
"2.90","Hit","Derek Jeter","1996"
"2.91","Hit","Derek Jeter","1996"
"2.92","Hit","Derek Jeter","1996"
"2.93","Hit","Derek Jeter","1996"
"2.94","Hit","Derek Jeter","1996"
"2.95","Hit","Derek Jeter","1996"
"2.96","Hit","Derek Jeter","1996"
"2.97","Hit","Derek Jeter","1996"
"2.98","Hit","Derek Jeter","1996"
"2.99","Hit","Derek Jeter","1996"
"2.100","Hit","Derek Jeter","1996"
"2.101","Hit","Derek Jeter","1996"
"2.102","Hit","Derek Jeter","1996"
"2.103","Hit","Derek Jeter","1996"
"2.104","Hit","Derek Jeter","1996"
"2.105","Hit","Derek Jeter","1996"
"2.106","Hit","Derek Jeter","1996"
"2.107","Hit","Derek Jeter","1996"
"2.108","Hit","Derek Jeter","1996"
"2.109","Hit","Derek Jeter","1996"
"2.110","Hit","Derek Jeter","1996"
"2.111","Hit","Derek Jeter","1996"
"2.112","Hit","Derek Jeter","1996"
"2.113","Hit","Derek Jeter","1996"
"2.114","Hit","Derek Jeter","1996"
"2.115","Hit","Derek Jeter","1996"
"2.116","Hit","Derek Jeter","1996"
